job_id,skill
train-1679,git
train-1682,sql
train-1682,javascript
train-1683,java
train-1686,excel
train-1686,data analysis
train-1689,python
train-1692,communication
train-1693,javascript
train-1694,communication
train-1697,project management
train-1704,python
train-1704,javascript
train-1704,react
train-1704,django
train-1704,pandas
train-1704,numpy
train-1706,python
train-1706,machine learning
train-1709,sql
train-1710,azure
train-1716,communication
train-1725,machine learning
train-1727,communication
train-1734,machine learning
train-1735,excel
train-1735,communication
train-1738,data analysis
train-1739,java
train-1739,javascript
train-1739,node.js
train-1744,sql
train-1745,java
train-1745,node.js
train-1745,aws
train-1745,azure
train-1745,machine learning
train-1746,excel
train-1746,communication
train-1748,python
train-1755,project management
train-1761,python
train-1761,sql
train-1764,python
train-1765,project management
train-1769,sql
train-1769,excel
train-1769,data analysis
train-1773,sql
train-1773,machine learning
train-1779,data analysis
train-1788,sql
train-1788,machine learning
train-1796,data analysis
train-1798,sql
train-1798,excel
train-1802,python
train-1802,sql
train-1802,tableau
train-1806,java
train-1806,javascript
train-1808,python
train-1808,java
train-1808,node.js
train-1809,sql
train-1809,java
train-1812,project management
train-1819,python
train-1819,machine learning
train-1820,data analysis
train-1820,communication
train-1824,data analysis
train-1830,machine learning
train-1833,sql
train-1836,python
train-1836,machine learning
train-1837,python
train-1837,sql
train-1837,excel
train-1842,javascript
train-1844,python
train-1844,machine learning
train-1845,sql
train-1846,communication
train-1847,java
train-1847,javascript
train-1847,node.js
train-1851,python
train-1851,machine learning
train-1852,sql
train-1852,azure
train-1853,python
train-1853,communication
train-1853,project management
train-1857,excel
train-1859,javascript
train-1864,sql
train-1865,python
train-1866,tableau
train-1869,project management
train-1876,python
train-1876,machine learning
train-1876,data analysis
train-1878,communication
train-1881,java
train-1881,javascript
train-1885,project management
train-1890,java
train-1891,java
train-1892,machine learning
train-1893,python
train-1899,excel
train-1899,data analysis
train-1905,python
train-1905,sql
train-1915,azure
train-1915,project management
train-1917,python
train-1917,machine learning
train-1922,tableau
train-1923,project management
train-1925,machine learning
train-1937,communication
train-1942,python
train-1944,sql
train-1950,sql
train-1950,project management
train-1951,python
train-1951,java
train-1951,machine learning
train-1958,data analysis
train-1959,git
train-1962,python
train-1962,java
train-1966,java
train-1970,excel
train-1971,communication
train-1972,communication
train-1973,python
train-1973,aws
train-1982,sql
train-1984,sql
train-1989,data analysis
train-1992,communication
train-1993,java
train-1993,machine learning
train-1994,communication
train-1996,sql
train-1996,project management
train-1997,sql
train-2001,python
train-2001,java
train-2001,machine learning
train-2006,python
train-2006,sql
train-2006,machine learning
train-2007,python
train-2007,javascript
train-2007,django
train-2015,machine learning
train-2018,python
train-2018,java
train-2020,sql
train-2020,excel
train-2022,python
train-2022,sql
train-2022,java
train-2022,machine learning
train-2024,azure
train-2028,sql
train-2028,java
train-2031,data analysis
train-2034,java
train-2034,javascript
train-2035,machine learning
train-2039,python
train-2039,excel
train-2039,tableau
train-2039,data analysis
train-2042,java
train-2043,project management
train-2057,javascript
train-2063,python
train-2063,machine learning
train-2065,data analysis
train-2069,python
train-2069,sql
train-2069,machine learning
train-2070,sql
train-2075,project management
train-2077,git
train-2081,sql
train-2081,azure
train-2083,python
train-2083,machine learning
train-2083,data analysis
train-2084,data analysis
train-2085,sql
train-2088,python
train-2088,javascript
train-2088,node.js
train-2088,git
train-2096,java
train-2096,javascript
train-2096,aws
train-2097,python
train-2097,sql
train-2097,machine learning
train-2098,sql
train-2099,java
train-2106,sql
train-2114,communication
train-2123,python
train-2124,excel
train-2134,java
train-2139,java
train-2142,project management
train-2145,excel
train-2145,project management
train-2148,communication
train-2153,sql
train-2153,java
train-2153,javascript
train-2155,machine learning
train-2156,sql
train-2157,javascript
train-2157,data analysis
train-2159,project management
train-2161,java
train-2171,sql
train-2171,excel
train-2176,sql
train-2176,javascript
train-2180,sql
train-2180,java
train-2193,communication
train-2194,machine learning
train-2198,javascript
train-2199,sql
train-2199,data analysis
train-2202,data analysis
train-2204,python
train-2204,machine learning
train-2205,sql
train-2205,excel
train-2211,python
train-2211,sql
train-2211,machine learning
train-2227,sql
train-2227,data analysis
train-2239,project management
train-2240,sql
train-2241,excel
train-2242,sql
train-2246,communication
train-2255,excel
train-2257,sql
train-2257,excel
train-2257,data analysis
train-2263,sql
train-2264,project management
train-2267,sql
train-2270,python
train-2270,sql
train-2270,azure
train-2270,machine learning
train-2271,java
train-2271,machine learning
train-2280,sql
train-2280,excel
train-2281,excel
train-2283,python
train-2283,java
train-2290,sql
train-2290,java
train-2290,javascript
train-2290,data analysis
train-2291,sql
train-2292,javascript
train-2294,project management
train-2295,java
train-2296,sql
train-2297,project management
train-2298,excel
train-2298,communication
train-2300,excel
train-2303,data analysis
train-2303,communication
train-2306,data analysis
train-2306,communication
train-2307,sql
train-2310,sql
train-2314,python
train-2314,numpy
train-2317,communication
train-2323,communication
train-2329,sql
train-2329,tableau
train-2335,project management
train-2336,javascript
train-2336,node.js
train-2340,communication
train-2345,data analysis
train-2347,machine learning
train-2347,communication
train-2351,excel
train-2353,project management
train-2354,sql
train-2354,azure
train-2356,sql
train-2356,data analysis
train-2357,sql
train-2367,python
train-2367,django
train-2367,docker
train-2369,project management
train-2373,power bi
train-2388,sql
train-2388,azure
train-2391,project management
train-2396,python
train-2396,machine learning
train-2401,data analysis
train-2402,sql
train-2405,data analysis
train-2408,communication
train-2409,communication
train-2409,project management
train-2410,javascript
train-2417,machine learning
train-2417,data analysis
train-2417,communication
train-2418,sql
train-2418,tableau
train-2418,data analysis
train-2422,excel
train-2424,aws
train-2424,azure
train-2426,sql
train-2428,sql
train-2432,java
train-2446,project management
train-2454,python
train-2454,java
train-2454,machine learning
train-2459,python
train-2459,django
train-2470,python
train-2470,docker
train-2470,aws
train-2471,communication
train-2475,sql
train-2475,power bi
train-2485,sql
train-2486,java
train-2493,data analysis
train-2494,java
train-2500,python
train-2500,sql
train-2500,numpy
train-2505,react
train-2505,node.js
train-2510,machine learning
train-2515,azure
train-2518,python
train-2518,machine learning
train-2522,sql
train-2524,java
train-2524,communication
train-2526,data analysis
train-2528,java
train-2528,project management
train-2529,machine learning
train-2529,numpy
train-2539,java
train-2547,sql
train-2550,javascript
train-2561,sql
train-2562,java
train-2562,javascript
train-2564,excel
train-2566,excel
train-2566,data analysis
train-2584,excel
train-2595,java
train-2601,sql
train-2601,excel
train-2601,data analysis
train-2602,machine learning
train-2609,machine learning
train-2621,sql
train-2622,javascript
train-2624,data analysis
train-2627,sql
train-2627,tableau
train-2628,python
train-2628,machine learning
train-2629,sql
train-2635,aws
train-2636,sql
train-2636,excel
train-2636,tableau
train-2636,data analysis
train-2646,project management
train-2647,excel
train-2653,sql
train-2653,excel
train-2655,communication
train-2656,excel
train-2660,sql
train-2660,communication
train-2661,python
train-2661,sql
train-2661,java
train-2661,machine learning
train-2673,sql
train-2673,communication
train-2675,javascript
train-2678,java
train-2679,python
train-2679,sql
train-2679,java
train-2679,azure
train-2680,python
train-2680,sql
train-2691,sql
train-2691,project management
train-2693,java
train-2697,sql
train-2697,tableau
train-2699,machine learning
train-2699,data analysis
train-2700,java
train-2704,python
train-2704,sql
train-2704,excel
train-2704,data analysis
train-2705,java
train-2705,javascript
train-2709,sql
train-2709,java
train-2709,javascript
train-2709,data analysis
train-2715,sql
train-2715,excel
train-2727,sql
train-2727,machine learning
train-2729,excel
train-2729,data analysis
train-2729,communication
train-2732,communication
train-2735,python
train-2735,java
train-2735,machine learning
train-2738,machine learning
train-2740,python
train-2742,machine learning
train-2745,java
train-2746,data analysis
train-2747,communication
train-2750,project management
train-2759,sql
train-2759,data analysis
train-2762,communication
train-2768,sql
train-2768,machine learning
train-2770,communication
train-2773,sql
train-2773,java
train-2775,communication
train-2776,project management
train-2780,sql
train-2780,machine learning
train-2781,sql
train-2781,power bi
train-2781,data analysis
train-2786,sql
train-2786,java
train-2788,excel
train-2790,project management
train-2793,java
train-2793,aws
train-2800,excel
train-2800,data analysis
train-2800,communication
train-2801,data analysis
train-2805,project management
train-2807,excel
train-2807,communication
train-2809,communication
train-2811,sql
train-2811,data analysis
train-2815,sql
train-2818,excel
train-2819,project management
train-2820,project management
train-2826,excel
train-2827,javascript
train-2829,excel
train-2831,sql
train-2831,java
train-2835,sql
train-2835,java
train-2842,communication
train-2852,machine learning
train-2853,communication
train-2856,javascript
train-2856,node.js
train-2863,java
train-2864,machine learning
train-2868,sql
train-2868,excel
train-2868,communication
train-2872,communication
train-2875,java
train-2875,node.js
train-2878,sql
train-2878,project management
train-2880,java
train-2885,java
train-2896,javascript
train-2898,excel
train-2904,data analysis
train-2910,sql
train-2916,java
train-2916,git
train-2917,python
train-2917,sql
train-2919,project management
train-2921,project management
train-2922,javascript
train-2922,react
train-2922,node.js
train-2924,power bi
train-2924,data analysis
train-2934,project management
train-2937,sql
train-2938,java
train-2945,javascript
train-2945,node.js
train-2950,project management
train-2954,sql
train-2954,java
train-2955,java
train-2956,python
train-2956,java
train-2956,javascript
train-2956,azure
train-2956,git
train-2956,machine learning
train-2961,project management
train-2965,java
train-2967,sql
train-2967,communication
train-2969,sql
train-2969,javascript
train-2970,python
train-2970,machine learning
train-2971,machine learning
train-2971,data analysis
train-2981,java
train-2984,java
train-2986,communication
train-2990,java
train-2990,javascript
train-2997,python
train-2997,java
train-2997,javascript
train-2999,python
train-2999,machine learning
train-3003,react
train-3004,sql
train-3004,excel
train-3006,data analysis
train-3010,communication
train-3010,project management
train-3012,data analysis
train-3017,python
train-3017,machine learning
train-3017,data analysis
train-3022,project management
train-3023,sql
train-3023,excel
train-3023,data analysis
train-3023,project management
train-3025,sql
train-3037,excel
train-3037,project management
train-3040,machine learning
train-3040,data analysis
train-3048,project management
train-3049,aws
train-3049,communication
train-3050,project management
train-3054,project management
train-3056,python
train-3056,java
train-3056,javascript
train-3057,machine learning
train-3057,data analysis
train-3059,communication
train-3059,project management
train-3063,java
train-3065,java
train-3065,project management
train-3066,java
train-3066,javascript
train-3066,aws
train-3067,python
train-3067,machine learning
train-3067,data analysis
train-3083,sql
train-3083,power bi
train-3084,data analysis
train-3089,sql
train-3089,machine learning
train-3092,data analysis
